score,sentence1_tr,sentence2_tr
5.0,Bir uçak kalkıyor.,Bir hava uçağı kalkıyor.
3.8,Bir adam büyük bir flüt çalıyor.,Bir adam flüt çalıyor.
3.8,Bir adam pizzaya rendelenmiş peynir yayıyor.,Bir adam pişmemiş pizzaya rendelenmiş peynir yayıyor.
2.6,Üç adam satranç oynuyor.,İki adam satranç oynuyor.
4.25,Bir adam çello çalıyor.,Oturan bir adam çello çalıyor.
4.25,Bazı adamlar kavga ediyor.,İki adam kavga ediyor.
0.5,Bir adam sigara içiyor.,Bir adam kayıyor.
1.6,Adam piyano çalıyor.,Adam gitar çalıyor.
2.2,Bir adam gitar çalıyor ve şarkı söylüyor.,Bir kadın akustik gitar çalıp şarkı söylüyor.
5.0,Bir insan tavana kedi fırlatıyor.,Bir kişi tavana bir kedi atar.
4.2,Adam diğer adama sopayla vurdu.,Adam diğer adama sopayla şaplak attı.
4.6,Bir kadın alıp bir bebek kanguru tutuyor.,Bir kadın kucağına bir yavru kanguru alır ve tutar.
3.867,Bir adam flüt çalıyor.,Bir adam bambu flüt çalıyor.
4.667,Bir insan bir kağıt parçasını katlıyor.,Birisi bir kağıt parçası katlıyor.
1.6669999999999998,Yolda koşan bir adam var.,Bir panda köpeği yolda koşuyor.
3.75,Bir köpek sırtından pastırma çıkarmaya çalışıyor.,Bir köpek sırtındaki pastırmayı yemeye çalışıyor.
5.0,Kutup ayısı karda kayıyor.,Bir kutup ayısı karda kayıyor.
0.5,Bir kadın yazıyor.,Bir kadın yüzüyor.
3.8,Bir kedi bebeğin yüzüne sürtünerek gidiyor.,Bir kedi bir bebeğe sürtünür.
5.0,Adam ata biniyor.,Bir adam ata biniyor.
3.2,Bir adam tencereye yağ döker.,Bir adam tencereye şarap döker.
2.8,Bir adam gitar çalıyor.,Bir kız gitar çalıyor.
4.6,Bir panda kaydıraktan aşağı kayıyor.,Bir panda slayt aşağı kayar.
3.0,Bir kadın bir şeyler yiyor.,Bir kadın et yiyor.
5.0,Bir kadın patates soyuyor.,Bir kadın patates soyuyor.
4.8,Çocuk bisikletten düştü.,Bir çocuk bisikletten düşüyor.
5.0,Kadın flüt çalıyor.,Bir kadın flüt çalıyor.
4.2,Bir tavşan kartaldan kaçıyor.,Bir tavşan kartaldan kaçıyor.
4.2,Kadın ekmekli domuz pirzolası kızartıyor.,Bir kadın ekmekli domuz pirzolası pişiriyor.
